2,(1)
3,1(2),(1)
4,1(1),(2)
5,1(2),(1)
6,1(1),(2)
7,2(1),(2)
8,2(1),(2)
9,4(1),(2)
10,2(2),(1)
11,2(1),(2)
12,2(1),(2)
13,1(2),(1)
14,1(1),(2)
15,2(1),(2)
16,4(1),(2)
17,1(2),(1)
18,7(1),(2)
19,2(1),(2)
20,5(1),(2)
21,5(2),(1)
22,4(2),(1)
23,3(2),(1)
24,4(1),(2)
25,3(2),(1)
26,2(2),(1)
27,7(2),(1)
28,2(1),(2)
29,4(1),(2)
30,1(1),(2)
31,5(2),(1)
32,5(1),(2)
33,5(2),(1)
34,2(2),(1)
35,2(1),(2)
36,14(1),(2)
37,6(1),(2)
38,4(2),(1)
39,7(2),(1)
40,1(1),(2)
41,1(2),(1)
42,7(1),(2)
43,17(2),(1)
44,3(1),(2)
45,17(2),(1)
46,5(1),(2)
47,15(2),(1)
48,8(1),(2)
49,3(2),2(1),(1)
50,6(2),(1)
51,1(2),(1)
52,7(1),(2)
53,13(2),(1)
54,1(1),(2)
55,11(2),(1)
56,3(1),(2)
57,7(1),2(1),(2)
58,8(2),(1)
59,17(2),(1)
60,2(1),(2)
61,7(2),(1)
62,10(2),(1)
63,26(1),(2)
64,3(1),(2)
65,5(1),3(1),(1)
66,10(2),(1)
67,2(1),(2)
68,3(1),2(1),(1)
69,17(2),(1)
70,4(2),(1)
71,20(1),(2)
72,28(1),(2)
73,1(2),(1)
74,12(2),(1)
75,5(2),4(1),(1)
76,9(1),(2)
77,16(1),(2)
78,13(1),(2)
79,26(1),(2)
80,2(1),(2)
81,40(1),(2)
82,2(2),(1)
83,27(2),(1)
84,14(1),(2)
85,16(1),(2)
86,13(1),(2)
87,26(1),(2)
88,6(1),(2)
89,13(2),(1)
90,19(1),(2)
91,17(2),(1)
92,10(1),(2)
93,23(2),(1)
94,30(2),(1)
95,47(2),(1)
96,16(1),(2)
97,12(1),(2)
98,4(1),3(1),(1)
99,19(2),(1)
100,25(1),(2)
101,31(2),(1)
102,2(2),(1)
103,47(2),(1)
104,5(1),(2)
105,6(1),2(1),(1)
106,26(2),(1)
107,3(2),(1)
108,2(1),(2)
109,9(2),(1)
110,22(2),(1)
111,2(1),(2)
112,6(1),(2)
113,19(2),(1)
114,7(1),(2)
115,32(1),(2)
116,15(1),(2)
117,52(1),(2)
118,34(2),(1)
119,2(1),(2)
120,4(1),(2)
121,1(2),(1)
122,14(2),(1)
123,7(1),4(1),(2)
124,25(1),(2)
125,52(1),(2)
126,49(1),(2)
127,8(1),(2)
128,6(1),(2)
129,3(2),2(1),(1)
130,10(1),6(1),(1)
131,27(2),(1)
132,19(1),14(1),(1)
133,15(2),(1)
134,4(2),(1)
135,44(1),(2)
136,57(1),(2)
137,1(2),(1)
138,34(2),(1)
139,59(2),(1)
140,59(1),(2)
141,5(2),(1)
142,40(2),(1)
143,35(2),(1)
144,56(1),(2)
145,24(1),(2)
146,2(2),(1)
147,8(1),(2)
148,3(1),(2)
149,11(2),10(1),(1)
150,73(1),(2)
151,2(1),(2)
152,18(1),(2)
