2,(1)
3,1(1),(4)
4,1(1),(2)
5,(2)
6,1(1),(2)
7,1(1),(4)
8,1(1),(4)
9,1(1),(5)
10,(3)
11,1(10),(1)
12,1(1),(7)
13,1(2),(4)
14,2(1),(4)
15,1(2),(1)
16,4(1),(2)
17,1(1),(4)
18,1(1),(4)
19,5(1),(3)
20,5(1),(2)
21,2(1),(1)
22,1(1),(4)
23,5(2),(1)
24,1(1),(2)
25,(2)
26,1(3),(1)
27,2(1),(2)
28,1(1),(4)
29,1(2),(2)
30,2(2),(1)
31,3(1),(4)
32,3(1),(5)
33,1(1),(4)
34,1(1),(3)
35,5(1),(4)
36,3(1),(7)
37,9(2),(4)
38,1(1),(4)
39,1(1),(1)
40,3(1),(10)
41,3(1),(4)
42,1(1),(7)
43,1(1),(4)
44,6(1),(6)
45,5(1),(5)
46,3(1),(1)
47,12(2),(1)
48,2(1),(2)
49,6(1),(5)
50,(3)
51,2(1),(1)
52,3(1),(6)
53,6(1),(4)
54,4(10),(1)
55,3(2),(5)
56,9(1),(5)
57,4(1),(1)
58,2(2),(5)
59,6(1),(3)
60,5(1),(7)
61,3(1),(5)
62,6(1),(4)
63,2(1),(2)
64,3(1),(8)
65,5(2),(4)
66,1(5),(2)
67,2(2),(1)
68,3(5),(2)
69,7(2),(5)
70,10(1),(4)
71,4(1),(2)
72,1(1),(8)
73,2(1),(6)
74,5(1),(10)
75,1(2),(1)
76,3(1),(4)
77,6(1),(4)
78,2(1),(1)
79,6(1),(3)
80,6(1),(10)
81,1(10),(1)
82,6(1),(4)
83,6(1),(4)
84,2(1),(7)
85,5(1),(4)
86,2(1),(4)
87,5(2),(2)
88,12(1),(6)
89,7(2),(5)
90,5(1),(4)
91,4(1),(3)
92,6(1),(7)
93,4(1),(4)
94,1(1),(6)
95,18(1),(2)
96,1(3),(1)
97,4(1),(1)
98,12(1),(5)
99,28(1),(7)
100,14(1),(10)
101,3(1),(4)
102,4(1),(1)
103,24(1),(8)
104,6(1),(6)
105,7(2),(1)
106,12(1),(4)
107,6(1),(4)
108,5(1),(10)
109,34(1),(2)
110,5(1),(4)
111,5(2),(2)
112,25(1),(10)
113,4(1),(5)
114,3(1),(4)
115,6(1),(2)
