2,(3)
3,1(1),(3)
4,(3)
5,1(1),(3)
6,1(1),(7)
7,1(1),(5)
8,(3)
9,1(1),(3)
10,1(1),(7)
11,1(3),(7)
12,1(1),(2)
13,1(2),(6)
14,1(1),(8)
15,1(3),(6)
16,(3)
17,1(16),(1)
18,1(1),(3)
19,1(3),(1)
20,2(1),(7)
21,2(1),(1)
22,2(3),(7)
23,3(6),(2)
24,3(1),(2)
25,1(1),(3)
26,1(1),(9)
27,2(1),(7)
28,3(1),(8)
29,2(1),(9)
30,1(1),(8)
31,1(1),(7)
32,(3)
33,2(1),(1)
34,2(16),(3)
35,8(1),(5)
36,1(1),(5)
37,1(1),(6)
38,2(3),(6)
39,19(1),(3)
40,1(1),(5)
41,4(1),(13)
42,4(3),(11)
43,4(1),(13)
44,1(1),(7)
45,1(3),(2)
46,5(1),(8)
47,3(3),(6)
48,8(1),(7)
49,2(1),(7)
50,2(1),(3)
51,1(1),(3)
52,4(2),(6)
53,2(1),(1)
54,1(1),(13)
55,9(1),(3)
56,5(1),(5)
57,2(1),(3)
58,3(1),(9)
59,5(1),(4)
60,4(3),(6)
61,1(2),(6)
62,2(1),(7)
63,1(1),(1)
64,(3)
65,2(1),(3)
66,4(1),(6)
67,10(1),(9)
68,4(16),(3)
69,2(1),(4)
70,9(1),(9)
71,9(3),(1)
72,2(1),(5)
73,4(1),(4)
74,2(1),(6)
75,4(1),(13)
76,4(3),(6)
77,3(3),(6)
78,3(1),(9)
79,1(3),(3)
80,2(1),(5)
81,13(3),(6)
82,7(1),(8)
83,1(1),(5)
84,1(1),(5)
85,3(3),(7)
86,8(3),(3)
87,2(1),(3)
88,2(1),(7)
89,10(1),(9)
90,2(5),(3)
91,18(1),(8)
92,12(7),(6)
93,4(1),(11)
94,6(3),(6)
95,6(1),(10)
96,5(1),(16)
97,3(3),(2)
98,4(1),(7)
99,1(3),(6)
100,3(1),(4)
101,1(3),(6)
102,2(1),(3)
103,1(1),(5)
104,8(2),(6)
105,1(5),(1)
106,4(3),(11)
107,3(5),(1)
108,6(1),(3)
