2,(2)
3,1(1),(1)
4,(2)
5,1(4),(1)
6,1(1),(2)
7,1(1),(1)
8,(2)
9,4(1),(4)
10,2(4),(2)
11,1(2),(1)
12,1(1),(4)
13,6(1),(1)
14,2(3),(2)
15,2(1),(2)
16,(2)
17,3(1),(1)
18,1(1),(1)
19,9(1),(1)
20,4(4),(2)
21,1(4),(1)
22,1(1),(1)
23,2(1),(1)
24,4(1),(2)
25,7(2),(1)
26,12(2),(3)
27,1(1),(1)
28,4(3),(2)
29,6(1),(1)
30,4(1),(2)
31,1(1),(1)
32,(2)
33,14(1),(2)
34,6(3),(2)
35,4(1),3(3),(4)
36,6(1),(2)
37,13(4),(1)
38,9(1),(1)
39,7(4),(1)
40,8(4),(2)
41,3(1),(1)
42,2(4),(2)
43,1(2),(1)
44,4(3),(2)
45,1(4),(1)
46,4(2),(3)
47,8(1),(4)
48,8(1),(2)
49,9(4),(1)
50,14(3),(2)
51,10(1),(1)
52,11(1),(4)
53,6(1),(2)
54,2(4),(2)
55,4(1),(4)
56,8(3),(2)
57,1(4),(1)
58,12(2),(3)
59,7(4),(1)
60,8(1),(2)
61,6(1),(2)
62,2(3),(2)
63,2(1),(2)
64,(2)
65,6(1),(1)
66,3(1),(1)
67,6(1),(2)
68,12(3),(2)
69,13(4),(1)
70,6(1),3(1),(3)
71,20(1),(4)
72,12(1),(2)
73,14(1),(2)
74,26(4),(2)
75,13(2),(1)
76,36(4),(2)
77,6(1),(2)
78,1(1),(1)
79,9(2),(1)
80,16(4),(2)
81,5(4),(1)
82,6(4),(2)
83,17(1),(1)
84,4(4),(2)
85,24(1),(4)
86,2(3),(2)
87,19(4),(1)
88,8(3),(2)
89,3(1),(1)
90,2(4),(2)
91,6(1),(2)
92,8(2),(3)
93,2(1),(2)
94,1(1),(1)
95,24(1),(4)
96,13(1),(4)
97,24(1),(4)
98,15(1),(2)
99,7(4),(1)
100,28(3),(2)
101,4(1),(4)
102,1(1),(2)
103,29(2),(1)
104,23(1),(4)
105,41(4),(1)
106,12(1),(2)
107,9(1),(1)
108,4(4),(2)
109,20(1),(4)
110,8(2),(3)
111,5(2),(1)
112,16(3),(2)
113,24(1),(4)
114,2(4),(2)
115,1(1),(1)
116,24(2),(3)
117,4(1),(4)
118,13(1),(2)
119,45(1),(1)
120,16(1),(2)
121,4(1),(4)
122,11(1),(1)
123,3(1),2(1),(3)
124,1(1),(4)
125,4(1),3(3),(2)
126,4(1),(2)
127,26(1),(2)
128,(2)
129,20(1),(4)
130,12(2),(3)
131,25(2),(1)
132,26(1),(2)
133,9(4),(1)
134,12(1),(2)
135,26(1),(1)
136,24(3),(2)
137,41(4),(1)
138,26(4),(2)
139,27(4),(1)
140,5(1),2(4),(3)
141,37(4),(1)
142,40(2),(3)
143,21(2),(1)
144,24(1),(2)
145,44(1),(4)
146,28(1),(2)
147,58(1),(1)
148,31(1),(4)
149,30(1),(2)
150,26(3),(2)
151,2(1),(2)
152,72(4),(2)
153,14(1),(2)
154,12(1),(2)
155,54(1),(1)
156,13(1),(4)
157,76(1),(4)
158,9(1),(2)
159,5(1),(1)
160,32(4),(2)
161,11(1),(1)
162,9(1),(1)
163,9(1),(1)
164,12(4),(2)
165,2(1),(2)
166,5(1),(2)
167,59(4),(1)
168,8(4),(2)
169,67(1),(1)
170,48(2),(3)
171,1(1),(1)
172,4(3),(2)
173,47(2),(1)
174,38(4),(2)
175,58(1),(2)
176,16(3),(2)
177,76(1),(4)
178,6(4),(2)
179,12(1),(4)
180,4(4),(2)
181,6(1),5(3),(1)
182,12(1),(2)
183,22(1),(2)
184,16(2),(3)
185,6(1),(1)
186,4(1),(2)
187,4(1),(4)
188,32(2),(3)
189,4(1),(4)
190,48(2),(3)
191,5(2),4(1),(4)
192,32(1),(2)
193,14(1),(2)
194,35(1),(2)
195,71(4),(1)
196,3(1),(4)
197,24(1),(4)
198,9(1),(1)
199,1(2),(1)
200,56(3),(2)
201,44(1),(4)
202,8(2),(3)
203,17(1),(1)
204,2(1),(2)
205,23(2),(1)
206,53(1),(2)
207,26(1),(2)
208,39(1),(4)
209,5(3),2(1),(1)
210,82(4),(2)
211,42(1),(2)
212,24(1),(2)
213,7(1),5(2),(2)
214,18(4),(2)
215,104(1),(4)
216,8(4),(2)
217,44(1),(4)
218,3(1),(2)
219,5(1),3(1),(1)
220,16(2),(3)
221,47(1),(1)
222,10(3),(2)
223,36(1),(4)
224,32(3),(2)
225,23(2),(1)
226,48(2),(3)
227,53(1),(1)
228,4(4),(2)
229,6(1),(1)
230,2(4),(2)
231,23(4),(1)
232,48(2),(3)
233,4(1),(4)
234,3(1),(1)
235,24(1),(4)
236,26(1),(2)
237,12(1),5(1),(4)
238,90(4),(2)
239,115(4),(1)
240,32(1),(2)
241,37(4),(1)
242,8(2),(3)
243,26(1),(1)
244,3(1),(4)
245,89(4),(1)
246,37(1),(1)
247,6(1),(2)
248,8(3),(2)
249,4(1),3(4),(2)
250,8(1),6(3),(2)
251,15(4),(1)
252,8(1),(2)
253,3(1),2(2),(3)
254,52(1),(2)
255,4(1),(4)
256,(2)
257,116(1),(4)
258,40(2),(3)
259,109(1),(1)
260,24(2),(3)
261,41(4),(1)
262,50(3),(2)
263,67(4),(1)
264,52(1),(2)
265,10(1),2(1),(3)
266,18(4),(2)
267,98(1),(2)
268,24(1),(2)
269,30(1),(2)
270,52(2),(3)
271,103(4),(1)
272,48(3),(2)
273,3(1),2(1),(3)
274,57(1),(2)
275,77(2),(1)
276,52(4),(2)
277,33(4),(1)
278,54(4),(2)
279,10(1),(1)
280,3(1),2(2),(2)
281,3(1),(1)
282,3(1),(1)
283,9(1),(1)
284,80(2),(3)
285,5(1),3(2),(2)
286,1(1),(2)
287,78(1),(2)
288,39(1),(4)
289,54(1),(2)
290,88(2),(3)
291,49(2),(1)
292,13(1),(4)
293,126(1),(2)
294,49(1),(2)
295,64(1),(4)
296,23(1),(4)
297,76(1),(4)
298,60(1),(2)
299,7(4),(1)
300,52(3),(2)
301,31(2),(1)
302,4(1),(2)
303,16(1),(4)
304,121(1),(4)
305,71(1),(1)
306,3(1),(2)
307,9(1),2(1),(4)
308,24(1),(2)
309,4(1),(4)
310,108(2),(3)
311,80(1),(4)
312,56(4),(2)
313,59(2),(1)
314,105(1),(2)
315,26(1),(1)
316,18(1),(2)
317,24(1),(4)
318,10(4),(2)
319,3(2),2(1),(3)
320,64(4),(2)
321,104(1),(4)
322,22(4),(2)
323,31(4),(1)
324,20(4),(2)
325,3(2),(1)
326,18(4),(2)
327,119(4),(1)
328,24(4),(2)
329,6(1),(1)
330,4(1),(2)
331,45(2),(1)
332,10(1),(2)
333,71(2),(1)
334,118(4),(2)
335,131(4),(1)
336,16(4),(2)
337,118(1),(2)
338,43(1),(2)
339,61(2),(1)
340,96(2),(3)
341,1(4),(1)
342,2(3),(2)
343,109(2),(1)
344,8(3),(2)
345,3(1),2(2),(4)
346,94(3),(2)
347,9(1),(1)
348,71(1),(4)
349,13(4),(1)
350,116(1),(2)
351,3(4),2(1),(3)
352,32(3),(2)
353,42(1),(2)
354,39(1),(2)
355,71(4),(1)
356,12(4),(2)
357,176(1),(4)
358,24(2),(3)
359,21(2),(1)
360,8(4),(2)
361,175(2),(1)
362,10(3),9(1),(4)
363,41(1),(1)
364,1(1),(4)
365,1(4),(1)
366,33(1),(1)
367,139(4),(1)
368,11(1),(4)
369,119(2),(1)
370,12(2),(3)
371,5(2),(1)
372,3(1),(4)
373,16(1),(4)
374,8(2),(3)
375,4(1),2(2),(2)
376,64(2),(3)
377,14(1),(2)
378,8(2),(3)
379,30(1),(1)
380,96(2),(3)
381,116(1),(4)
382,10(3),8(2),(3)
383,42(1),(2)
384,64(1),(2)
385,96(1),(4)
386,28(1),(2)
387,98(1),(2)
388,70(1),(2)
389,155(2),(1)
390,142(4),(2)
391,21(2),(1)
