2,(1)
3,(2)
4,1(1),(1)
5,1(1),(3)
6,(2)
7,1(6),(1)
8,1(1),(3)
9,(2)
10,1(2),(3)
11,1(1),(3)
12,3(1),(2)
13,2(1),(3)
14,1(1),(4)
15,3(1),(3)
16,1(2),(3)
17,1(1),(3)
18,(2)
19,2(1),(6)
20,2(2),(3)
21,3(6),(2)
22,2(1),(4)
23,4(1),(3)
24,3(1),(3)
25,4(1),(1)
26,4(3),(1)
27,(2)
28,10(2),(3)
29,1(3),(1)
30,3(2),(3)
31,2(1),(6)
32,1(1),(4)
33,1(1),(1)
34,1(2),(3)
35,4(1),(4)
36,9(1),(2)
37,1(6),(1)
38,4(3),(2)
39,2(1),(3)
40,1(2),(3)
41,4(1),(4)
42,1(1),(6)
43,4(1),(1)
44,3(1),(1)
45,9(1),(3)
46,8(3),(1)
47,7(1),(3)
48,3(2),(3)
49,3(3),(1)
50,8(1),(1)
51,3(1),(3)
52,1(1),(1)
53,1(3),(1)
54,(2)
55,9(1),(1)
56,20(2),(3)
57,1(3),(2)
58,2(3),(1)
59,4(1),(3)
60,6(2),(3)
61,4(1),(1)
62,4(3),(2)
63,9(6),(2)
64,1(2),(3)
65,1(3),(1)
66,2(1),(1)
67,9(1),(1)
68,2(2),(3)
69,4(1),(1)
70,8(1),(4)
71,10(1),(4)
72,9(1),(3)
73,5(1),(3)
74,2(6),(1)
75,11(3),(2)
76,9(1),(3)
77,1(1),(3)
78,4(3),(4)
79,11(1),(3)
80,2(2),(3)
81,(2)
82,8(1),(4)
83,7(3),(1)
84,2(1),(6)
85,8(1),(4)
86,8(1),(1)
87,1(3),(2)
88,12(1),(3)
89,1(1),(3)
90,9(2),(3)
91,3(1),(1)
92,21(1),(3)
93,6(2),(3)
94,1(2),(3)
95,31(3),(2)
96,3(1),(4)
97,3(1),(1)
98,6(3),(1)
99,9(1),(3)
100,15(1),(1)
101,13(1),(3)
102,3(2),(3)
103,9(3),(1)
104,36(1),(3)
105,12(1),(4)
106,2(3),(1)
107,15(1),(1)
108,27(1),(2)
109,23(3),(2)
110,18(1),(1)
111,3(6),(2)
112,40(2),(3)
113,43(3),(2)
114,2(3),(2)
115,48(1),(6)
116,19(1),(4)
117,6(1),(3)
118,8(3),(1)
119,19(1),(3)
120,3(2),(3)
121,37(6),(1)
122,8(1),(1)
123,12(1),(4)
124,5(1),4(4),(4)
125,22(1),(6)
126,9(1),(4)
127,2(1),(6)
128,2(2),(3)
129,12(1),(2)
130,2(3),(1)
131,1(3),(2)
132,9(2),(2)
133,16(3),(1)
134,18(1),(1)
135,13(1),(1)
136,4(2),(3)
137,8(3),(1)
138,8(1),(1)
139,27(3),(1)
140,58(1),(6)
141,11(3),(2)
142,20(1),(4)
143,19(3),(1)
144,9(2),(3)
145,17(1),(3)
146,10(1),(4)
147,9(5),(3)
148,11(1),(4)
149,27(3),(1)
150,22(3),(2)
151,2(1),(4)
152,18(1),(3)
153,9(1),(3)
154,2(1),(4)
155,11(6),(1)
156,3(1),(2)
157,41(1),(3)
158,22(1),(4)
159,3(5),(2)
160,4(2),(3)
161,13(3),(1)
162,(2)
163,6(1),3(5),(2)
164,13(1),(3)
165,26(1),(1)
166,14(3),(1)
167,39(3),(1)
168,4(1),(6)
169,8(1),(4)
170,16(1),(4)
171,3(3),(2)
172,35(1),(3)
173,8(3),(1)
174,2(3),(2)
175,39(3),(1)
176,24(1),(3)
177,1(1),(1)
178,2(1),(4)
179,16(1),(6)
180,17(1),(6)
181,5(1),(3)
182,6(1),(1)
183,12(1),(2)
184,29(1),(4)
185,47(6),(1)
186,12(3),(2)
187,16(1),(1)
188,1(1),(3)
189,13(3),(2)
190,11(1),(3)
191,31(3),(1)
192,3(2),(3)
193,42(1),(6)
194,6(1),(1)
195,3(5),(2)
196,18(1),(3)
197,3(3),(1)
198,18(1),(4)
199,8(1),(4)
200,5(2),(3)
201,27(2),(2)
202,26(1),(4)
203,4(1),(4)
204,6(2),(3)
205,39(3),(1)
206,18(3),(1)
207,33(3),(2)
208,11(1),(6)
209,40(1),(3)
210,24(1),(4)
211,10(3),(1)
212,22(1),(6)
213,30(1),(4)
214,30(1),(1)
215,22(1),(6)
216,27(1),(3)
217,29(1),(3)
218,46(3),(2)
219,15(1),(3)
220,15(1),(1)
221,20(3),(1)
222,6(6),(2)
223,16(3),(1)
224,80(2),(3)
225,28(1),(3)
226,57(1),(1)
227,48(1),(6)
228,27(1),(3)
229,18(1),(6)
230,47(2),(3)
231,3(1),(3)
232,5(1),(6)
233,112(1),(4)
234,12(3),(4)
235,8(1),(4)
236,81(1),(3)
237,33(1),(3)
238,38(1),(4)
239,73(3),(1)
240,6(2),(3)
241,44(1),(3)
242,74(6),(1)
243,(2)
244,27(1),(3)
245,111(3),(1)
246,24(1),(4)
247,27(1),(1)
248,5(1),(1)
249,21(5),(2)
250,44(3),(2)
251,14(3),(1)
252,90(2),(3)
253,16(3),(1)
254,1(1),(4)
255,24(1),(4)
256,4(2),(3)
257,25(3),(1)
258,24(1),(2)
259,9(3),(1)
260,25(1),(4)
261,3(3),(2)
262,2(3),(2)
263,55(3),(1)
264,36(1),(3)
265,17(1),(3)
266,32(3),(1)
267,3(1),(3)
268,5(1),2(6),(4)
269,22(1),(4)
270,26(1),(1)
271,11(1),(3)
272,8(2),(3)
273,9(2),(2)
274,16(3),(1)
275,92(1),(1)
276,63(1),(3)
277,14(1),(4)
278,54(3),(1)
279,18(2),(3)
280,116(1),(6)
281,41(6),(1)
282,3(2),(3)
283,14(1),(6)
284,85(1),(4)
285,64(1),(1)
286,38(3),(1)
287,2(1),(1)
288,9(1),(4)
289,23(3),(2)
290,19(1),(4)
291,9(2),(2)
292,109(1),(1)
293,4(1),(4)
294,18(5),(4)
295,17(3),(1)
296,51(1),(3)
297,8(1),(3)
298,54(3),(1)
299,40(1),(4)
300,45(1),(3)
301,4(2),2(3),(5)
302,4(1),(4)
303,39(1),(3)
304,36(1),(3)
305,2(3),(1)
306,9(2),(3)
307,62(1),(3)
308,50(2),(3)
309,27(5),(3)
310,22(6),(1)
311,33(3),(1)
312,29(1),(6)
313,101(1),(3)
314,69(1),(1)
315,36(1),(4)
316,74(1),(6)
317,32(3),(1)
318,6(5),(2)
319,124(3),(1)
320,5(2),(3)
321,45(2),(2)
322,26(3),(1)
323,74(1),(1)
324,81(1),(2)
325,41(1),(3)
326,129(1),(3)
327,22(1),(3)
328,26(1),(3)
329,25(1),(3)
330,52(1),(1)
331,89(3),(2)
332,57(1),(1)
333,9(6),(2)
334,78(3),(1)
335,7(3),(1)
336,8(1),(6)
337,160(1),(1)
338,16(1),(4)
339,38(1),(1)
340,13(1),(1)
341,16(1),(6)
342,6(3),(2)
343,4(1),(1)
344,41(2),(3)
345,144(2),(5)
346,16(3),(1)
347,1(1),(3)
348,17(1),(6)
349,37(6),(1)
350,17(2),(3)
351,18(1),(3)
352,48(1),(3)
353,68(1),(1)
354,2(1),(1)
355,56(1),(6)
356,10(1),(3)
357,20(1),(1)
358,3(1),(3)
359,5(6),4(1),(1)
360,9(2),(3)
361,39(1),(1)
362,10(1),(4)
363,26(1),(3)
364,8(3),7(1),(3)
365,142(1),(4)
366,24(1),(2)
367,69(3),(1)
368,47(2),(3)
369,36(1),(4)
370,53(1),(3)
371,3(1),(1)
372,9(1),4(3),(3)
373,35(3),(2)
374,29(1),(1)
375,19(1),(1)
376,2(1),(3)
377,19(1),(3)
378,26(3),(2)
379,123(3),(1)
380,22(1),(3)
381,6(2),(3)
382,62(3),(1)
383,24(1),(6)
384,6(2),(3)
385,5(3),4(1),(1)
386,61(1),(3)
387,13(3),(2)
388,125(1),(4)
389,6(1),2(3),(3)
390,6(5),(2)
391,21(3),(1)
392,36(1),(3)
393,2(1),(3)
394,6(3),(1)
395,76(1),(4)
396,27(2),(2)
397,146(1),(3)
398,16(1),(4)
399,8(1),(1)
400,10(2),(3)
